Connected to /dev/ttyACM0 at 115200 baud.
Timer 1: elapsed = 211l us
Timer 1: elapsed = 76l us
Timer 1: elapsed = 124l us
Timer 3: elapsed = 955l us
Timer 1: elapsed = 212l us
Timer 2: elapsed = 594l us
Timer 1: elapsed = 62l us
Timer 1: elapsed = 177l us
Timer 1: elapsed = 26l us
Timer 1: elapsed = 167l us
Timer 2: elapsed = 409l us
Timer 1: elapsed = 126l us
Timer 1: elapsed = 161l us
Timer 1: elapsed = 51l us
Timer 3: elapsed = 1015l us
Timer 1: elapsed = 221l us
Timer 2: elapsed = 597l us
Timer 1: elapsed = 196l us
Timer 1: elapsed = 136l us
Timer 1: elapsed = 48l us
Timer 1: elapsed = 27l us
Timer 2: elapsed = 425l us
Timer 1: elapsed = 163l us
Timer 1: elapsed = 123l us
Timer 1: elapsed = 95l us
Timer 3: elapsed = 1020l us
Timer 1: elapsed = 174l us
Timer 2: elapsed = 529l us
Timer 1: elapsed = 121l us
Timer 1: elapsed = 147l us
Timer 1: elapsed = 38l us
Timer 1: elapsed = 185l us
Timer 2: elapsed = 444l us
Timer 1: elapsed = 171l us
Timer 1: elapsed = 70l us
Timer 1: elapsed = 107l us
Timer 3: elapsed = 977l us
Timer 1: elapsed = 166l us
Timer 2: elapsed = 570l us
Timer 1: elapsed = 120l us
Timer 1: elapsed = 107l us
Timer 1: elapsed = 70l us
Timer 1: elapsed = 196l us
Timer 2: elapsed = 438l us
Timer 1: elapsed = 170l us
Timer 1: elapsed = 36l us
Timer 1: elapsed = 155l us
Timer 3: elapsed = 971l us
Timer 1: elapsed = 218l us
Timer 2: elapsed = 651l us
Timer 1: elapsed = 146l us
Timer 1: elapsed = 30l us
Timer 1: elapsed = 81l us
Timer 1: elapsed = 113l us
Timer 2: elapsed = 380l us
Timer 1: elapsed = 180l us
Timer 1: elapsed = 125l us
Timer 1: elapsed = 92l us
Timer 3: elapsed = 1035l us
Timer 1: elapsed = 204l us
Timer 2: elapsed = 526l us
Timer 1: elapsed = 82l us
Timer 1: elapsed = 114l us
Timer 1: elapsed = 99l us
Timer 1: elapsed = 74l us
Timer 2: elapsed = 447l us
Timer 1: elapsed = 258l us
Timer 1: elapsed = 42l us
Timer 1: elapsed = 96l us
Timer 3: elapsed = 1014l us
Timer 1: elapsed = 219l us
Timer 2: elapsed = 542l us
Timer 1: elapsed = 86l us
Timer 1: elapsed = 106l us
Timer 1: elapsed = 112l us
Timer 1: elapsed = 99l us
Timer 2: elapsed = 466l us
Timer 1: elapsed = 235l us
Timer 1: elapsed = 53l us
Timer 1: elapsed = 151l us
Timer 3: elapsed = 950l us
Timer 1: elapsed = 171l us
Timer 2: elapsed = 569l us
Timer 1: elapsed = 62l us
Timer 1: elapsed = 169l us
Timer 1: elapsed = 48l us
Timer 1: elapsed = 95l us
Timer 2: elapsed = 426l us
Timer 1: elapsed = 190l us
Timer 1: elapsed = 170l us
Timer 1: elapsed = 47l us
Timer 3: elapsed = 1042l us
Timer 1: elapsed = 212l us
Timer 2: elapsed = 566l us
Timer 1: elapsed = 76l us
Timer 1: elapsed = 130l us
Timer 1: elapsed = 108l us
Timer 1: elapsed = 92l us
Timer 2: elapsed = 452l us
Timer 1: elapsed = 203l us
Timer 1: elapsed = 106l us
Timer 1: elapsed = 87l us
Timer 3: elapsed = 953l us
Timer 1: elapsed = 240l us
Timer 2: elapsed = 627l us
Timer 1: elapsed = 151l us
Timer 1: elapsed = 35l us
Timer 1: elapsed = 58l us
Timer 1: elapsed = 112l us
Timer 2: elapsed = 353l us
Timer 1: elapsed = 194l us
Timer 1: elapsed = 91l us
Timer 1: elapsed = 86l us
Timer 3: elapsed = 1064l us
Timer 1: elapsed = 196l us
Timer 2: elapsed = 524l us
Timer 1: elapsed = 126l us
Timer 1: elapsed = 85l us
Timer 1: elapsed = 140l us
Timer 1: elapsed = 88l us
Timer 2: elapsed = 511l us
Timer 1: elapsed = 195l us
Timer 1: elapsed = 125l us
Timer 1: elapsed = 64l us
Timer 3: elapsed = 988l us
Timer 1: elapsed = 208l us
Timer 2: elapsed = 518l us
Timer 1: elapsed = 99l us
Timer 1: elapsed = 125l us
Timer 1: elapsed = 56l us
Timer 1: elapsed = 136l us
Timer 2: elapsed = 462l us
Timer 1: elapsed = 171l us
Timer 1: elapsed = 154l us
Timer 1: elapsed = 37l us
Timer 3: elapsed = 1008l us
Timer 1: elapsed = 222l us
Timer 2: elapsed = 550l us
Timer 1: elapsed = 85l us
Timer 1: elapsed = 139l us
Timer 1: elapsed = 75l us
Timer 1: elapsed = 76l us
Timer 2: elapsed = 487l us
Timer 1: elapsed = 201l us
Timer 1: elapsed = 159l us
Timer 1: elapsed = 61l us
Timer 3: elapsed = 980l us
Timer 1: elapsed = 211l us
Timer 2: elapsed = 512l us
Timer 1: elapsed = 74l us
Timer 1: elapsed = 130l us
Timer 1: elapsed = 82l us
Timer 1: elapsed = 129l us
Timer 2: elapsed = 457l us
Timer 1: elapsed = 154l us
Timer 1: elapsed = 94l us
Timer 1: elapsed = 176l us
Timer 3: elapsed = 965l us
Timer 1: elapsed = 166l us
Timer 2: elapsed = 643l us
Timer 1: elapsed = 166l us
Timer 1: elapsed = 15l us
Timer 1: elapsed = 128l us
Timer 1: elapsed = 88l us
Timer 2: elapsed = 350l us
Timer 1: elapsed = 202l us
Timer 1: elapsed = 85l us
Timer 1: elapsed = 120l us
Timer 3: elapsed = 1038l us
Timer 1: elapsed = 187l us
Timer 2: elapsed = 556l us
Timer 1: elapsed = 68l us
Timer 1: elapsed = 174l us
Timer 1: elapsed = 51l us
Timer 1: elapsed = 116l us
Timer 2: elapsed = 475l us
Timer 1: elapsed = 181l us
Timer 1: elapsed = 132l us
Timer 1: elapsed = 71l us
Timer 3: elapsed = 1001l us
Timer 1: elapsed = 197l us
Timer 2: elapsed = 504l us
Timer 1: elapsed = 91l us
Timer 1: elapsed = 102l us
Timer 1: elapsed = 145l us
Timer 1: elapsed = 71l us
Timer 2: elapsed = 490l us
Timer 1: elapsed = 205l us
Timer 1: elapsed = 94l us
Timer 1: elapsed = 88l us
Timer 3: elapsed = 971l us
Timer 1: elapsed = 247l us
Timer 2: elapsed = 579l us
Timer 1: elapsed = 152l us
Timer 1: elapsed = 90l us
Timer 1: elapsed = 158l us
Timer 1: elapsed = 60l us
Timer 2: elapsed = 487l us
Timer 1: elapsed = 205l us
Timer 1: elapsed = 140l us
Timer 3: elapsed = 993l us
Timer 1: elapsed = 170l us
Timer 2: elapsed = 547l us
Timer 1: elapsed = 164l us
Timer 1: elapsed = 42l us
Timer 1: elapsed = 108l us
Timer 1: elapsed = 72l us
Timer 2: elapsed = 379l us
Timer 1: elapsed = 226l us
Timer 1: elapsed = 93l us
Timer 1: elapsed = 106l us
Timer 3: elapsed = 996l us
Timer 1: elapsed = 160l us
Timer 2: elapsed = 565l us
Timer 1: elapsed = 276l us
Timer 1: elapsed = 90l us
Timer 1: elapsed = 43l us
Timer 1: elapsed = 22l us
Timer 2: elapsed = 422l us
Timer 1: elapsed = 192l us
Timer 1: elapsed = 123l us
Timer 1: elapsed = 64l us
Timer 3: elapsed = 1048l us
Timer 1: elapsed = 183l us
Timer 2: elapsed = 512l us
Timer 1: elapsed = 113l us
Timer 1: elapsed = 137l us
Timer 1: elapsed = 61l us
Timer 1: elapsed = 170l us
Timer 2: elapsed = 469l us
Timer 1: elapsed = 202l us
Timer 1: elapsed = 20l us
Timer 1: elapsed = 176l us
Timer 3: elapsed = 959l us
Timer 1: elapsed = 177l us
Timer 2: elapsed = 607l us
Timer 1: elapsed = 186l us
Timer 1: elapsed = 50l us
Timer 1: elapsed = 8l us
Timer 1: elapsed = 192l us
Timer 2: elapsed = 385l us
Timer 1: elapsed = 171l us
Timer 1: elapsed = 67l us
Timer 1: elapsed = 85l us
Timer 3: elapsed = 992l us
Timer 1: elapsed = 194l us
Timer 2: elapsed = 609l us
Timer 1: elapsed = 223l us
Timer 1: elapsed = 125l us
Timer 1: elapsed = 59l us
Timer 1: elapsed = 60l us
Timer 2: elapsed = 396l us
Timer 1: elapsed = 135l us
Timer 1: elapsed = 164l us
Timer 1: elapsed = 46l us
Timer 3: elapsed = 1024l us
Timer 1: elapsed = 209l us
Timer 2: elapsed = 602l us
Timer 1: elapsed = 227l us
Timer 1: elapsed = 64l us
Timer 1: elapsed = 121l us
Timer 1: elapsed = 60l us
Timer 2: elapsed = 539l us
Timer 1: elapsed = 193l us
Timer 1: elapsed = 147l us
Timer 1: elapsed = 58l us
Timer 3: elapsed = 1055l us
Timer 1: elapsed = 100l us
Timer 2: elapsed = 363l us
Timer 1: elapsed = 108l us
Timer 1: elapsed = 126l us
Timer 1: elapsed = 118l us
Timer 1: elapsed = 88l us
Timer 2: elapsed = 510l us
Timer 1: elapsed = 221l us
Timer 1: elapsed = 40l us
Timer 1: elapsed = 130l us
Timer 3: elapsed = 934l us
Timer 1: elapsed = 240l us
Timer 2: elapsed = 702l us
Timer 1: elapsed = 277l us
Timer 1: elapsed = 53l us
Timer 1: elapsed = 117l us
Timer 1: elapsed = 86l us
Timer 2: elapsed = 463l us
Timer 1: elapsed = 174l us
Timer 1: elapsed = 33l us
Timer 3: elapsed = 1051l us
Timer 1: elapsed = 206l us
Timer 2: elapsed = 340l us
Timer 1: elapsed = 108l us
Timer 1: elapsed = 140l us
Timer 1: elapsed = 56l us
Timer 1: elapsed = 86l us
Timer 2: elapsed = 521l us
Timer 1: elapsed = 230l us
Timer 1: elapsed = 70l us
Timer 1: elapsed = 135l us
Timer 3: elapsed = 947l us
Timer 1: elapsed = 172l us
Timer 2: elapsed = 561l us
Timer 1: elapsed = 209l us
Timer 1: elapsed = 118l us
Timer 1: elapsed = 81l us
